Species_Eagle,Species_Goose,Species_Hawk,Species_Stork,Species_Swallow,Species_Warbler,Average_Speed_kmph,Max_Altitude_m,Min_Altitude_m,Flight_Duration_hours,Migration_Success
False,False,False,True,False,False,0.21738604049628668,1.5124141971984242,-1.6977837461738623,2.2480084842456884,0
False,False,False,False,True,False,-0.9021468754891524,-1.3251775797171184,-1.5539566317209055,0.6032491343713118,1
False,False,False,True,False,False,0.9637413178199141,0.5877579828970965,0.3724550224671826,0.5035667495304404,0
False,False,True,False,False,False,-1.3008577210067742,-0.4244282400140735,-1.3142447742993106,-1.1810655542802855,1
False,False,False,False,False,False,-1.6504662456478416,0.319384035793792,0.6644676487807616,0.57334441891905,0
False,False,False,False,False,True,2.7707067260771145,0.35447315818804587,-0.3684725368359282,-1.9884928714913437,0
False,False,False,False,False,False,0.7300142704475143,-0.26132166009353064,0.17196874171457616,0.1945513565237391,0
False,False,False,False,False,True,-0.05758695641241758,1.1152516030656605,0.6862596358190883,0.3540431722691334,0
False,False,False,False,False,True,-1.2949654425015875,1.3585618913159263,0.04993361429994615,0.8125821425371418,0
False,False,False,True,False,False,-0.9119673396644641,-0.5138862223818417,-1.109400096139039,1.41067645158237,1
True,False,False,False,False,False,0.889105790087551,-1.224151754801794,0.04993361429994615,1.2511846358369756,0
False,False,False,False,False,True,0.33523161060001744,0.48750334748494245,0.8736707243486987,-0.23408289829200749,0
False,False,False,False,True,False,0.9185671826134832,-1.1400920989562187,1.3879616184532109,-0.8421454458213229,0
True,False,False,False,False,False,1.507795033132136,-1.190990606165466,0.30707906135220225,-1.260811462152983,0
False,False,True,False,False,False,0.47468220188943205,1.3099769526161902,-1.4842222731982597,1.3010258282574114,1
False,False,False,False,False,True,-0.5623588150233967,-0.237800380246833,1.6625406551361284,0.5235032264986142,1
False,False,False,True,False,False,-0.20292982620701894,0.33210866259610383,-1.4014127224526178,1.4904223594550667,1
False,True,False,False,False,False,-0.2638167040939454,-0.6519291434493459,-0.4687156772122314,0.0051548253260836315,1
False,True,False,False,False,False,0.3921903028168204,-1.2160542650185047,-1.488580670605925,0.5334714649827016,1
False,False,False,True,False,False,-2.222017260650935,-0.6573274699715389,-0.5689588175885346,-1.0415102155030656,0
False,False,True,False,False,False,-0.008484635535863202,0.24882019625369897,-0.6561267657418418,-1.1910337927643726,0
